Family,Genus,Species,Cultivar,Common Name/Variety,Location,Last Fertilized,Fertilizer Schedule,Fertilizer Due,Last Repot
Apocynaceae,Ceropegia,Woodii,Variegata,Variegated String of Hearts ,Foyer,8/28/25,every 4-6 weeks,9/25/25,7/7/25
Araceae,Aglaonema,Commutatum,Ghost,Aglaonema Ghost,Guest Room,6/14/25,every 4 weeks,7/12/25,est 4/25
Araceae,Aglaonema,Commutatum,Intan Ice Cream,Aglaonema Ice Cream,Guest Room,7/9/25,every 4 weeks,8/6/25,est 4/25
Araceae,Aglaonema,Commutatum,Red Zircon,Aglaonema Red Zircon,Living Room,8/28/25,every 4 weeks,9/25/25,5/24/25
Araceae,Aglaonema,Commutatum,Siam Aurora ,Aglaonema Siam Aurora ,Bedroom,7/2/25,every 4 weeks,7/30/25,est 4/25
Araceae,Aglaonema,Commutatum,Siam Aurora 1.1,Aglaonema Siam Aurora 1.1,Dining Room,6/28/25,every 4 weeks,7/26/25,5/24/25
Araceae,Aglaonema,Commutatum,Night Sparkle ,Aglaonema Night Sparkle,Living Room ,8/22/25,every 4 weeks,9/19/25,N/A
Araceae,Alocasia,Portora,Dwarf,Alocasia Low Rider,Living Room,8/30/25,every 4-6 weeks,9/27/25,est 4/25
Araceae,Alocasia,x Amazonica,Polly ,Alocasia Polly ,Living Room,8/30/25,every 4-6 weeks,9/27/25,est 5/25
Araceae,Alocasia,x Amazonica,Polly 1.1,Alocasia Polly 1.1,Guest Room,8/24/25,every 4-6 weeks,9/21/25,est 5/25
Araceae,Amydrium,Medium,Silver ,Amydrium Medium Silver ,Guest Room,8/26/25,every 4 weeks,9/23/25,7/7/25
Araceae,Amydrium,Medium,Silver 1.1,Amydrium Medium Silver 1.1,Guest Room,9/1/25,every 4 weeks,9/29/25,9/1/25
Araceae,Amydrium,Medium,Silver 1.2,Amydrium Medium Silver 1.2,Starter Tray,9/1/25,every 4 weeks,9/29/25,9/1/25
Araceae,Dieffenbachia,"Seguine ""Maculata""",Camille ,Dieffenbachia Camille 1,Office,7/9/25,every 4-6 weeks,8/6/25,est 3/25
Araceae,Dieffenbachia,"Seguine ""Maculata""",Camille 2,Dieffenbachia Camille 2,Bedroom,8/24/25,every 4-6 weeks,9/21/25,est 3/25
Araceae,Dieffenbachia,Seguine,Camouflage,Dieffenbachia Camouflage,Office,6/14/25,every 4-6 weeks,7/12/25,5/24/25
Araceae,Monstera,Deliciosa,,Monstera Deliciosa,Living Room,7/9/25,every 2-4 weeks,7/23/25,N/A
Araceae,Monstera,Deliciosa,Thai Constellation,Monstera Thai Constellation,Foyer,8/28/25,every 2-4 weeks,9/11/25,est 5/25
Araceae,Philodendron,Birkin,,Philodendron Birkin,Living Room,8/30/25,every 4-6 weeks,9/27/25,est 5/25
Araceae,Philodendron,Erubescens,Golden Goddess ,Philodendron Golden Goddess ,Foyer,7/5/25,every 4 weeks,8/2/25,est 4/25
Araceae,Philodendron,Erubescens,Golden Goddess 1.1,Philodendron Golden Goddess 1.1,Living Room,8/24/25,every 4 weeks,9/21/25,est 4/25
Araceae,Philodendron,Erubescens,Pink princess,Philodendron Pink Princess ,Living Room,7/9/25,every 4-6 weeks,8/6/25,5/24/25
Araceae,Philodendron,Erubescens,Prince of Orange,Philodendron Prince of Orange,Kitchen,7/9/25,every 4-6 weeks,8/6/25,N/A
Araceae,Philodendron,Erubescens,Ring of fire,Philodendron Ring of Fire,Guest Room,9/1/25,every 4-6 weeks,9/29/25,9/1/25
Araceae,Philodendron,Erubescens,White Knight 1,Philodendron White Knight 1,Living Room,8/24/25,every 4-6 weeks,9/21/25,7/7/25
Araceae,Philodendron,Erubescens,White Knight 2,Philodendron White Knight 2,Kitchen,7/5/25,every 4-6 weeks,8/2/25,est 5/25
Araceae,Philodendron,Erubescens,White Wizard ,Philodendron White Wizard ,Guest Room,7/9/25,every 4-6 weeks,8/6/25,est 5/25
Araceae,Philodendron,Erubescens,White Wizard 1.1,Philodendron White Wizard 1.1,Guest Room,8/27/25,every 4-6 weeks,9/24/25,est 5/25
Araceae,Philodendron,Hastatum,Silver Sword,Philodendron Silver Sword ,Starter Tray,9/1/25,every 4-6 weeks,9/29/25,9/1/25
Araceae,Philodendron,Hederaceum,Brasil ,Heart-Leaf Philodendron Brasil ,Guest Room,6/28/25,every 4-6 weeks,7/26/25,N/A
Araceae,Philodendron,Hederaceum,Brasil 1.1,Heart-Leaf Philodendron Brasil 1.1,Guest Room,9/1/25,every 4-6 weeks,9/29/25,est 7/25
Araceae,Philodendron,Hederaceum,Cream Splash Heart-leaf,Heart-Leaf Philodendron Cream Splash,Living Room,8/24/25,every 4-6 weeks,9/21/25,5/24/25
Araceae,Philodendron,Hederaceum,Lemon-lime Heart-leaf,Heart-Leaf Philodendron Lemon-Lime,Living Room,7/5/25,every 4-6 weeks,8/2/25,N/A
Araceae,Philodendron,Hederaceum,Micans ,Philodendron Micans ,Foyer,7/9/25,every 4-6 weeks,8/6/25,est 5/25
Araceae,Philodendron,Hederaceum,Micans 1.1,Philodendron Micans 1.1,Living Room,8/24/25,every 4-6 weeks,9/21/25,est 5/25
Araceae,Epipremnum,Aureum,Global Green ,Global Green Pothos ,Living Room,8/22/25,every 3-4 weeks,9/12/25,est 5/25
Araceae,Epipremnum,Aureum,Global Green 1.1,Global Green Pothos 1.1,Foyer,N/A,every 3-4 weeks,#VALUE!,est 6/25
Araceae,Epipremnum,Aureum,Golden,Golden Pothos,Bedroom,N/A,every 3-4 weeks,#VALUE!,N/A
Araceae,Epipremnum,Aureum,Jade,Jade Pothos,Guest Room,8/22/25,every 3-4 weeks,9/12/25,est 4/25
Araceae,Epipremnum,Aureum,Lemon Meringue,Lemon Meringue Pothos,Living Room,N/A,every 3-4 weeks,#VALUE!,N/A
Araceae,Epipremnum,Aureum,Manjula,Manjula Pothos,Living Room,6/28/25,every 3-4 weeks,7/19/25,N/A
Araceae,Epipremnum,Aureum,Marble Queen Pothos,Marble Queen Pothos,Living Room,8/24/25,every 3-4 weeks,9/14/25,N/A
Araceae,Epipremnum,Aureum,N’joy 1.1,N'Joy Pothos 1.1,Kitchen,8/24/25,every 3-4 weeks,9/14/25,N/A
Araceae,Epipremnum,Aureum,N’joy 1.2,N'Joy Pothos 1.2,Starter Tray,9/1/25,every 3-4 weeks,9/22/25,est 7/25
Araceae,Epipremnum,Aureum,Neon,Neon Pothos,Kitchen,7/9/25,every 3-4 weeks,7/30/25,N/A
Araceae,Epipremnum,Aureum,Shangri-La,Shangri-La Pothos,Living Room,8/24/25,every 3-4 weeks,9/14/25,7/7/25
Araceae,Epipremnum,Pinnatum,Albo Variegated,Pothos Albo Variegata,Living Room,7/9/25,every 4 weeks,8/6/25,est 5/25
Araceae,Epipremnum,Pinnatum,Cebu Blue,Pothos Cebu Blue ,Starter Tray,9/1/25,every 4 weeks,9/29/25,9/1/25
Araceae,Scindapsus,Pictus,Exotica ,Satin Pothos,Dining Room,N/A,every 4 weeks,#VALUE!,N/A
Araceae,Scindapsus,Pictus,Argyraeus 1.1,Silver Philodendron 1.1,Kitchen,7/5/25,every 4 weeks,8/2/25,N/A
Araceae,Scindapsus,Pictus,Argyraeus 1.2,Silver Philodendron 1.2,Guest Room,9/1/25,every 4 weeks,9/29/25,9/1/25
Araceae,Scindapsus,Pictus,Argyraeus 1.3,Silver Philodendron 1.3,Starter Tray,9/1/25,every 4 weeks,9/29/25,9/1/25
Araceae,Syngonium,Podophyllum,,Syngonium Arrowhead,Living Room,8/24/25,every 4 weeks,9/21/25,est 3/25
Araceae,Syngonium,Podophyllum,Brocante,Syngonium Brocante,Living Room,7/5/25,every 4 weeks,8/2/25,est 5/25
Araceae,Syngonium,Podophyllum,Confetti Tricolor,Syngonium Confetti Tricolor,Living Room,8/30/25,every 4 weeks,9/27/25,est 5/25
Araceae,Syngonium,Podophyllum,Holly,Syngonium Holly,Living Room,8/28/25,every 4 weeks,9/25/25,N/A
Araceae,Syngonium,Podophyllum,Milk confetti,Syngonium Milk Confetti,Living Room,8/28/25,every 4 weeks,9/25/25,N/A
Araceae,Syngonium,Podophyllum,Neon Robusta ,Syngonium Neon Robusta,Living Room,8/26/25,every 4 weeks,9/23/25,est 5/25
Araceae,Syngonium,Podophyllum,Panda Galaxy,Syngonium Panda Galaxy,Living Room,8/29/25,every 4 weeks,9/26/25,est 4/25
Araceae,Syngonium,Podophyllum,Red Dot Tricolor,Syngonium Red Dot Tricolor,Living Room,7/9/25,every 4 weeks,8/6/25,est 4/25
Araceae,Syngonium,Podophyllum,White Butterfly,Syngonium White Butterfly,Living Room,8/24/25,every 4 weeks,9/21/25,est 4/25
Araceae,Zamioculcas,Zamiifolia,,ZZ Plant,Foyer,7/9/25,every 17 weeks,11/5/25,N/A
Asclepiadoideae,Hoya,Burtoniae ,Variegata,Hoya Sea Stones,Living Room,7/9/25,every 4 weeks,8/6/25,N/A
Asclepiadoideae,Hoya,Carnosa ,Freckles splash,Hoya Freckles Splash,Living Room,7/9/25,every 4 weeks,8/6/25,N/A
Asclepiadoideae,Hoya,Carnosa x Serpens,Mathilde Splash,Hoya Mathilde Splash,Living Room,7/9/25,every 4 weeks,8/6/25,N/A
Asclepiadoideae,Hoya,Verticillata (Parasitica),Black Margin,Hoya Black Margin,Living Room,8/27/25,every 4 weeks,9/24/25,N/A
Asparagaceae,Chlorophytum,Comosum,Bonnie,Curly Spider Plant 1.1,Guest Room,8/30/25,every 3-4 weeks,9/20/25,N/A
Asparagaceae,Chlorophytum,Comosum,Bonnie,Curly Spider Plant 1.2,Starter Tray,9/1/25,every 3-4 weeks,9/22/25,est 7/25
Asparagaceae,Dracaena,Fragrans,Lemon-lime,Lemon-Lime Dracaena,Living Room,8/28/25,every 3-4 weeks,9/18/25,DUE
Asparagaceae,Dracaena,Trifasciata,Moonshine,Dracaena Moonshine,Foyer,8/28/25,every 6-8 weeks,10/9/25,est 4/25
Asteraceae,Crassothonna,Capensis,,Ruby Necklace,Kitchen,8/22/25,every 4-6 weeks,9/19/25,N/A
Asteraceae,Curio,Rowleyanus,,String of Pearls,Bathroom,8/26/25,every 4-6 weeks,9/23/25,est 5/25
Begoniaceae,Begonia,Maculata,Wightii,Polka dot Begonia,Kitchen,8/30/25,every 4 weeks,9/27/25,5/24/25
Commelinaceae,Tradescantia,Fluminensis,Lavender,Tradescantia Lavender,Living Room,8/28/25,every 4-6 weeks,9/25/25,N/A
Commelinaceae,Tradescantia,Zebrina,Little Hill,Wandering Dude,Starter Tray,6/28/25,every 4-6 weeks,7/26/25,est 3/25
Crassulaceae,Crassula,Ovata 1,,Jade Plant ,Guest room,7/9/25,every 6-8 weeks,8/20/25,est 3/25
Crassulaceae,Crassula,Ovata 1.1,,Jade Plant 1.1,Living Room,,every 6-8 weeks,42,est 3/25
Crassulaceae,Crassula,Ovata 1.2,,Jade Plant 1.2,Living Room,,every 6-8 weeks,42,est 3/25
Crassulaceae,Crassula,Ovata 1.3,,Jade Plant 1.3,Guest Room,,every 6-8 weeks,42,est 7/25
Crassulaceae,Crassula,Ovata 1.4,,Jade Plant 1.4,Kitchen,,every 6-8 weeks,42,est 7/25
Droseraceae,Drosera,Capensis,,Cape Sundew ,Living Room,N/A,N/A,N/A,N/A
Droseraceae,Drosera,Spatulata,,Spoon-Leaved Sundew,Guest Room,N/A,N/A,N/A,N/A
Euphorbiaceae,Codiaeum,Variegatum,,Croton Gold dust,Bathroom,8/26/25,every 6-8 weeks,10/7/25,est 2/25
Gesneriaceae,Codonanthe,Devosiana,Paula,Codonanthe Devosiana Paula,Living Room,8/28/25,every 2-4 weeks,9/11/25,N/A
Gesneriaceae,Nematanthus,Gregarius,,Goldfish Plant,Guest Room,7/9/25,every 2 weeks,7/23/25,N/A
Malvaceae,Pachira,Aquatica,,Money Tree,Guest Room,8/24/25,every 4 weeks,9/21/25,N/A
Marantaceae,Ctenanthe,Burle-Marxii,Amagris ,Ctenanthe Amagris ,Foyer,6/25/25,every 6-8 weeks,8/6/25,est 3/25
Marantaceae,Ctenanthe,Burle-Marxii,Amagris 1.1,Ctenanthe Amagris 1.1,Office,8/22/25,every 6-8 weeks,10/3/25,est 3/25
Marantaceae,Geoppertia,Orbifolia,,Calathea Orbifolia,Dining Room,6/29/25,every 4 weeks,7/27/25,est 2/25
Marantaceae,Geoppertia,Ornata,,Calathea Ornata,Foyer,8/29/25,every 2-3 weeks,9/12/25,N/A
Marantaceae,Geoppertia,Roseopicta,Dottie,Calathea Dottie,Foyer,6/30/25,every 4 weeks,7/28/25,est 4/25
Marantaceae,Maranta,Leuconeura,Red 1,Red Maranta 1,Foyer,7/9/25,every 2-4 weeks,7/23/25,est 2/25
Marantaceae,Maranta,Leuconeura,Red 2,Red Maranta 2,Foyer,8/22/25,every 2-4 weeks,9/5/25,est 3/25
Marantaceae,Stromanthe,Sanguinea,Triostar,Triostar Stromanthe,Foyer,6/28/25,every 4 weeks,7/26/25,6/25/25
Orchidaceae,Ludisia,Discolor,,Jewel Orchid,Foyer,8/24/25,every 4 weeks,9/21/25,7/7/25
Orchidaceae,Oncidium,Sphacelatum 1,,Oncidium “popcorn” ,Living Room,8/30/25,every 2-4 weeks,9/13/25,N/A
Orchidaceae,Oncidium,Sphacelatum 1.1,,Oncidium “popcorn” 1.1,Kitchen,,every 2-4 weeks,14,6/1/25
Orchidaceae,Phalaenopsis 1,,,Moth Orchid 1,Living Room,,every 2-4 weeks,14,est 10/24
Orchidaceae,Phalaenopsis 2,,,Moth Orchid 2,Living Room,,every 2-4 weeks,14,est 10/24
Piperaceae,Peperomia,Caperata,Variegata,Variegated Green Ripple Plant,Guest Room,7/5/25,every 4 weeks,8/2/25,N/A
Piperaceae,Peperomia,Clusiifolia,Ginny,Peperomia Ginny,Guest Rom,8/28/25,every 4 weeks,9/25/25,N/A
Piperaceae,Peperomia,Obtusifolia,Variegata,Baby Rubber Plant,Guest Room,8/30/25,every 6-8 weeks,10/11/25,est 2/25
Piperaceae,Peperomia,Polybotrya,,Peperomia Raindrop,Guest Room,8/24/25,every 6-8 weeks,10/5/25,est 3/25
